country,alias
Buenos Aires,Argentina
ARG,Argentina
ARG,Argentina
Arg.,Argentina
Aregnt,Argentina
AUS,Australia
Devonport,Australia
Victoria,Australia
Adelaide,Australia
Tasmania,Australia
Portschach,Austria
Aut.,Austria
San Salvador,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Liege,Belgium
Bermuda,Bermuda
Minsk,Bielorussia
Bolivia,Bolivia
Santa Cruz de la Sie,Bolivia
Bolivia/Chile,Bolivia/Chile
Bosnia,Bosnia and Herzegovina
Bosnia &amp; Herzegovina,Bosnia and Herzegovina
Botwana,Botswana
Guarulhos,Brasil
Salvador,Brasil
BRA,Brazil
Braz,Brazil
Rio de Janeiro,Brazil
Brazi,Brazil
Brazil,Brazil
Bahia,Brazil
Brasilia,Brazil
Florianapolis,Brazil
Brunei,Brunei
Bulgaria,Bulgaria
Burundi,Burundi
Cambodia,Camboja
Canda,Canada
Calgary,Canada
Ontaria,Canada
ALberta,Canada
Salinas,Cape green
Santiago,Chile
Chinese Ta,China
Nanjing,China
Chinese Taip,China
Chinese Taipei,China
COL,Colombia
Col,Colombia
Columbia,Colombia
Villavicencio,Colombia
Abidjan,Costa Marfim
Crotia,Crotia
Ciudad de Habana,Cuba
Havana,Cuba
Czechoslovakia,Czech republic
Czech Rep.,Czech republic
CZE,Czech Rrepublic
Denmark,Denmark
DEN.,Denmark
Santo Domingo,Dominic Republic
Domincan Republic,Dominican Republic
D.R.,Dominican Republic
Dominican Republic,Dominican Republic
Egpyt,Egypt
Sharm El Sheikh,Egypt
Eygpt,Egypt
UK,England
Great Britain,England
GBR,England
London,England
Britain,England
AL,England
Guayaquil,Equador
ALtadena,EUA
Fiji Island,Fiji
Finland,Finland
New Caledonia,France
New Caledoni,France
Toulouse,France
Bourg-en-Bresse,France
Forbach,France
France,France
Monaco,France
Reunion Island,France
Guadeloupe,France
Aix-en-Provence,France
Pau,France
Lesser Antilles,France
Ajaccio,Frnace
Braunschweig,Germany
Achim,Germany
Accra,Ghana
Guatemala City,Guatemala
GUA,Guatemala
Haiti,Haiti
Honduras,Honduras
HKG,Hong Kong
Hong Kong,Hong Kong
Hungary,Hungary
Hu,Hungary
Hunary,Hungary
Kolkata,Indoia
Surabaya,Indonesia
Jakarta,Indonesia
INA,Indonesia
Tehran,Iran
Dublin,Ireland
Hasharon,Israel
ISR,Israel
Ramat Hasharon,Israel
Isra,Israel
Alatri,Italy
Ita,Italy
Sardinia,Italy
Ancona,Italy
Reggio Calabria,Italy
Abidjan,Ivory Coast
CIV,Ivory Coast
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Almaty,Kazachistan
Aktau,Kazachistan
AN SUNG,Korea
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Angleur,Liege,Belgium
Lithuania,Lithuania
Luxembourg,Luxembourg
Esch/Alzette,Luxemburg
Esch-sur-Alzette,Luxemburg
Mondorf-Les-Bains,Luxemburg
Macedona,Macedonia
Antananarivo,Madagascar
Kuala Lampur,Malaysia
MAS,Malaysia
Mexica,Mexico
Acapulco,Mexico
Toluca,Mexico
Mexico City,Mexico
Moldovia,Moldova
Casablanca,Morocco
Namibia,Namibia
NED,Netherlands
Elndhoven,Netherlands
Netherlands,Netherlands
Alphen aan den Rijn,Netherlands
s-Hertogenbosch,Netherlands
The Netherlands,Netherlands
The Nethe,Netherlands
The Hague,Netherlands
Dutch Anti,Netherlands Antilles
Dutch Antil,Netherlands Antilles
NZL,New Zealand
New Zealan,New Zealand
New Zealand,New Zealand
NZ,New Zealand
Nicaragua,Nicaragua
Nigeria,Nigeria
Norway,Norway
Pacific Oceania,Pacific Oceania
Pakistan,Pakistan
Lahore,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Manilla,Philipines
Manila,Philipines
Guam,Philipines
Philippines,Philippines
Phillipines,Philippines
PHI,Philippines
Poland,Poland
Faro,Portugal
Portugal,Portugal
Estoril,Portugal
Doha,Qatar
Romania,Romania
Bucharest,Romania
Constanta,Romenia
Korolev,Russia
Russia,Russia
Moscow,Russia
Rwanda,Rwanda
Belgrade,Serbia
Serbia &amp; Montenegro,Serbia
SErgia &amp; M,Serbia
SCG,Serbia
Yug.,Serbia
Slovak,Slovakia
Bratislava,Slovakia
Slovkia,Slovakia
Presov,Slovakia
Slovak,Slovakia
Slovak Republic,Slovakia
Portoroz,Slovenia
Solvenia,Solvenia
Polokwane,South Africa
South Africa,South Africa
Pretoria,South Africa
Nelspruit,South Africa
SA,South Africa
Johannesburg,South Africa
South,South Africa
Andong,South Korea
Korea,South Korea
Anseong,South Korea
Melilla,Spain
Adeje,Spain
Barcelona,Spain
ApAizaco,Spain
Palma de Mallorca,Spain
Algemesi,Spain
Valldoreix,Spain
Bakio,Spain
Switz.,Switzerland
Neuchatel,Switzerland
Taiwan,Taiwan
Taipei,Taiwan
TPE,Taiwan
Kaohsiung,Taiwan
Tajikistan,Tajikistan
Thailand,Thailand
THA,Thailand
Bangkok,Thailand
TBA,To be announced
TBC,To be confirmed
TBD,To be determined
Togo,Togo
TRI,Trinidad and Tobago
Tunisia,Tunisia
Tunis,Tunisia
Monastir,Tunisia
Antalya,Turkey
Turkey,Turkey
Texas,U.S.A.
Delray Beach,U.S.A.
Puerto Rico,U.S.A.
Novaya Kakhovka,Ukraine
